Entity,Community
SPD,5
EU,4
Babiš,6
Sněmovna,6
ANO,6
Okamura,5
ČSSD,6
ODS,3
Poslanecká sněmovna,5
Zeman,6
Senát,6
TOP 09,3
KDU-ČSL,3
KSČM,6
Evropská komise,4
Piráti,3
NATO,4
Evropský parlament,4
STAN,3
Hamáček,6
Parlament,4
Sobotka,5
Fiala_p,3
ČT,5
Android,5
Kalousek,3
Česká televize,5
Schillerová,6
Morava,6
ČT 24,5
Agrofert,6
V 4,4
Salvini,4
Putin,4
Merkelová,4
Trump,4
Orbán,4
Le Pen,4
Evropská unie,4
EP,4
Západ,4
Fiala,3
Maláčová,6
Havel,6
Ústavní soud,6
EET,6
OSN,4
Klaus,6
Hrad,6
Evropská rada,4
TV Barrandov,6
Unie,4
HDP,4
Spolu,3
OSVČ,6
Havlíček,6
Komise,4
Karlovarský kraj,6
Středočeský kraj,6
Vysočina,3
ČEZ,3
Vojtěch,6
Bělobrádek,5
Zlínský kraj,8
Senát Parlamentu ČR,6
Macron,4
Český rozhlas,5
Ministerstvo financí,6
Moravskoslezský kraj,5
Ministerstvo zdravotnictví,6
Masaryk,6
NKÚ,5
Trikolóra,3
Čechy,6
Soros,4
SVOBODA,4
Čapí hnízdo,6
Ústecký kraj,5
Petříček,6
Jihomoravský kraj,6
Bartoš,3
Dukovany,4
David,4
Jourová,4
Juncker,4
Nejvyšší kontrolní úřad,5
Hitler,4
Události komentáře,5
Olomoucký kraj,5
Moravec,5
Brusel,4
ČNB,5
von der Leyen,4
Blatný,6
Islámský stát,4
Wilderse,4
Rada,4
BIS,6
Soukup,5
Hnutí Svoboda a přímá demokracie,5
Pekarová Adamová,3
Schwarzenberg,3
Johnson,4
Prima,0
Úřad vlády,6
Hřib,3
Rakušan,3
OKD,5
Plzeňský kraj,5
Foldyna,4
TV Prima,0
Pardubický kraj,5
Youtube,5
Volný,5
Pirát,3
Vystrčil,6
Fiala_r,5
FB,5
Prymula,6
Parlament České republiky,5
Beneš,5
Liberecký kraj,5
Benešová,6
Ťok,6
Hnutí SPD,3
Partie,0
Dvořák,5
Svobodný,4
Koněv,3
Otázky Václava Moravce,5
Šafránková,5
Bakala,5
Erdogan,4
Jurečka,3
Šojdrová,3
Zaorálek,6
Visegrád,4
Biden,4
ENF,4
Gazdík,3
Polčák,3
Plaga,6
Novák,5
Hrnčíř,4
Zdechovský,3
Rada EU,4
AFD,4
Evropa národů a svoboda,4
Česká pošta,6
Ministerstvo vnitra,6
Varšavská smlouva,5
Feri,3
Policie,5
Pospíšil,3
Starostové a nezávislí,3
Jakl,5
Identita a demokracie,4
Michálek,3
Rada ČT,5
Google,1
TV Nova,5
KDU,3
Nos,4
Vláda,6
Facebook,1
Eurostat,4
Křeček,5
Blízký Východ,4
ID,4
Eurozóna,3
Stanjura,3
Wilder,4
Výborný,3
Univerzita Karlova,5
Farský,3
Novotný,4
Kovanda,5
Duka,5
Blaško,4
Kolář,3
Veselý,5
Redl,3
Metnar,6
Lipovský,5
Sputnik,4
Rakoušan,3
Makron,4
Liga,4
EFTA,4
Armáda ČR,4
Zelený,3
Herman,3
ČRO,5
Doležal,4
Aréna,6
Nejvyšší soud,6
Královéhradeckém kraji,5
Válek,3
Úřad práce,4
Charanzová,3
Česká národní banka,5
Bruselská elita,4
Úsvit,5
Jedlička,4
Klaus ml.,3
Čižinský,3
Televize,5
Ministerstvo práce a sociálních věcí,6
Národní sdružení,4
Niedermayer,3
Stropnický,6
Dlabajová,3
Maříková,6
CVVM,5
Palacký,4
Poche,3
PS PČR,4
Černochová,3
Sokol,4
Agrární komora ČR,4
Blízkého východu,5
Pelikán,6
SPO,5
ČSÚ,5
FIDESZ,4
CDU,5
STEM,5
Národní fronta,5
Národní shromáždění,4
Konzervativní strana,4
Jandejsek,4
Temelín,4
Konečný,3
Valachová,6
Kobza,5
Ježek,3
Legum,4
Zlínsku,5
ANTIFA,3
Holík,5
PiS,4
Rada ČTK,5
Brichta,5
Český statistický úřad,4
Green Deal,4
FPÖ,4
Horák,4
Černý,5
PRAHA SOBĚ,3
Beran,5
Zelený úděl,4
Soudní dvůr,4
RRTV,5
Black Lives Matter,5
Chovanec,6
168 hodina,5
Organizace pro pomoc uprchlíkům,6
Šlachta,3
Gatestone Institute,4
MPO,4
Ministerstvo dopravy,2
Toman,4
EK,4
Dostál,6
UK,4
Ředitelství silnic a dálnic,2
OECD,4
Čech,6
Brabec,6
Zahradil,3
Pfizer,4
EPP,4
Krym,4
Timmermans,4
Rada Evropy,4
kurz,4
Balkán,4
Brexit,4
Obama,4
Kosovo,4
Farage,4
Mayová,4
PS,6
Staněk,6
StB,6
Faltýnek,6
Filip,6
Němcová,6
Kreml,6
Šmarda,6
Hnutí ANO,6
Kalouskův,3
Válková,6
Vondráček,6
Dnešní aktuality,5
Svobodné rádio,5
MPSV,6
Kubera,6
Občanská demokratická strana,3
Hlubuček,3
Vondra,3
Topolánek,3
Kupka,3
Skopeček,3
Nečas,3
Huawei,6
Mynář,6
Pražský hrad,6
Ovčáček,6
Smoljak,6
Ondráček,6
Severoatlantická aliance,4
Síkela,3
Událost,5
ČT 1,5
Interview,5
Východ,4
ŘSD,2
D 1,2
Kraj Vysočina,3
Baťa,8
Čunek,8
Stalin,4
Koudelka,6
Ministerstvo pro místní rozvoj,6
Na rovinu,5
SŽDC,7
Správa železniční dopravní cesty,7
