;Babiš;Zeman;Schillerová;Okamura;Hamáček;Havlíček;Salvini;Maláčová;Havel;Trump;Klaus;Le Pen;Merkelová;Orbán;Kalousek;Brabec;Vojtěch;Jourová;Gott;Putin;Masaryk;Johnson;Macron;Fiala;Hřib;Toman;Juncker;Kreml;Benešová;Dostálová;Petříček;Palach;von der Leyen;Kubera;Plaga;Čaputová;Soros;David;Ťok;Soukup;Moravec;Staněk;Nováková;Wilderse;Sobotka;Zahradil;Šmarda;Michálek;Koněv;Bartoš;Erdogan;Pellegrini;Hitler;Dvořák;Vondráček;Morawiecki;Staňka;Beneš;Novák;Filip;Horáková;Charanzová;Faltýnek;Feri;Šojdrová;Schwarzenberg;Dzurilla;Dlabajová;Scheinherr;Hrnčíř;Hlaváček;Makron;Vystrčil;Kellner;Zdechovský;Volný;Čunek;Blaško;Mynář;Kramář;Mayová;Zaorálek;Jaklo;Novotný;Skopeček;Duka;Komenský;Polčák;Svoboda;Ondráček;Válková;Pospíšil;Smoljak;Metnar;Klaus ml;Thunberg;Timmermans;Prouza;Hnilička;Němcová;Nacher;černý;Baťa;Rakušan;Niedermayer;Čižinský;Chramostová;Tusk;Gajdůšková;Dostál;Wilder;Czernin;Jágr;Foldyna;Opat;Bakala;Doležal;Horák;Němec;Stalin;Veselý;Juříček;Jerman;Peksa;Lasvignes;Cook;Hlubuček;Kovanda;Kobza;M;Heydrich;Koudelka;Středula;Morawieckiego;Kněžínek;Telička;Stanjura;Sehnalová;Schubert;Weber;Bárta;B;Bettel;Výborný;Mátl;Rozner;Farage;Baxa;Gottem;Benda;P;Pavel;š;Tošenovský;Pupavová;DICKFELD;Lukeš;Pošarová;Čermák;Zima;Jarolím;Valenta;Semín;král;Ježek;Rychetský;Kolaja;Adamowicz;Bělobrádek;Trestík;Jakl;Dopita;Běrsko;Hahnová;Henner;Paul;Vašíček;Vostenak;Mitterwald;NOS;Schmeidler;Poche;Ovčáček;Nečas;Bartha;Szijjártó;Gregorová;Opletal;Sáblíková;Hilšer;Jelínek;Zažímalová;Arajma;May;Rath;Janda;Konečná;Špidlík;Zelenský;Vondra;Plenković;Špidla;Kuciak;Albright;Schäuble;Brežněv;Navrátil;Balda;Šarocha;Gazdík;Zikmund;Farský;Lukl;Brada;Paroubek;Kovář;Stehlík;Šaroch;Jakeš;Závodský;Michel;Giuliani;Vorlíček;Jílková;Winton;Vestager;Guaidó;Adamová;Pekarová;Vildumetzová;Štětina;Kraus;Kundera;Poc;Čunka;Kroupa;Burešová;Kretschmer;Hus;Suchý;Topolánek;Šefčovič;Majerová;Palacký;H;Bartošek;Farewell;Tesař;kurz;Juchelka;Lhoťan;Václavec;Luzar;Macháčkem;Dlouhý;Reagan;Fico;Lux;Pithart;Erdoğan;Charanzov;Pokorný;Zaeva;Ćwioro;Krutílek;Míle;Onderka;Dobšík;Gross;Fajt;Horská;Pík;Diallo;Mrázek;Chauhan;Seluckou;Cimrman;Mitrofanova;Hanuš;Grospič;Charvát;Strache;Bradáčová;Verhofstadt;Benešův;Stránský;Fridrich;Švejk;Vrecion;Čapka;Zelenskym;Koněvovi;Gerlocha;Polák;Dancilaovou;Dienstbier;Růžička;Burlac;Adámek;Semína;Robinson;Janků;Bezděk;Fraňkovou;Kučera;Janeček;Halík;Danko;Fajta;Vácha;Rafaje;Bureš;Webera;Conte;Výbornému;Pavlem;Matýse;Rinnem;Klause ml;Dušek;Pavlík;Steinmeierem;Timmermansem;Boček;Hitlera;Lenina;Neumann;Valachové;Valachová;Barnierem;Schwarzenbergem;Petružálkovi;Valčík;Trachtové;Herrmannem;Smoljakovi;Sagana;Fischerová;Brnabić;Asad;Zajíček;Jermanové;Výborného;Jiránek;Jágra;Jágrovi;Procházka;Bašárem;F;Zaev;Kováčik;Sorosem;Hoferem;Hanák;Timmermanse;Kiska;von der Leyenové;Červenková;Juříčka;LEE;Keller;Abe;Zdechovskému;Šojdrové;Pikal;Kněžínka;Vaněk;Nachera;Netanjahu;Šmardou;Gabriel;Goulard;Koudelku;Kotek;Gerloch;Marvanová;Bohdalová;Wagenknecht;Hřebejk;Michálkem;Stránského;Šimral;Kryla;Matićem;Mogherini;Bartoška;Píka;Fialová;Janečka;Prchal;Chabr;Sassoli;Knotek;Hrabánek;Kučerou;Johnsonem;Fischer;Lucemburského;Štěpánek;Žigou
Zahradil;0,00241;0,00265;0;0,00595;0;0,00787;0,00909;0;0,00877;0;0;0;0,01099;0,01176;0,01176;0,01266;0,01429;0;0;0,01282;0;0;0,01299;0,01333;0;0;0;0;0,01449;0;0,01562;0;0;0,01562;0;0;0;0,01639;0;0;0;0;0;0;0;0;0;0,04082;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0,08511;0;0;0,08889;0;0,02128;0,06522;0;0;0,02128;0;0;0;0,06818;0;0;0,02222;0;0;0;0;0;0;0,02273;0;0;0,1;0,07317;0;0;0,10526;0;0;0;0;0;0;0;0;0;0;0;0;0,07895;0;0;0,025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02632;0;0;0;0;0;0;0;0;0;0;0;0,08571;0;0,08824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,125;0;0;0;0;0;0;0;0;0;0;0,09091;0;0,02857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09375;0;0;0,02941;0;0;0;0;0;0;0;0;0;0;0;0,09375;0;0;0,02941;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09677;0;0,0303;0,03125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03125;0;0;0;0;0;0;0;0;0,03125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,10345;0;0;0;0;0,03226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03226;0;0;0;0;0;0;0
Šmarda;0,00732;0,01635;0,00621;0;0,00752;0,00826;0;0,00862;0;0;0;0;0;0;0,01266;0,0137;0,01562;0;0;0;0;0;0,01408;0;0;0,01471;0;0,01667;0;0,01562;0,03509;0;0;0;0;0;0;0;0;0;0;0,03846;0;0;0,01961;0;0;0;0;0;0;0;0;0;0,02273;0;0,02222;0;0;0;0;0;0,02439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Michálek;0,00121;0;0,00617;0;0,00746;0,0082;0;0;0;0;0,00971;0;0;0,0125;0,02532;0,01351;0,01538;0,01316;0;0;0;0;0;0;0,01493;0;0;0,01639;0,01562;0,01538;0;0;0;0;0;0;0,01754;0;0;0;0;0;0;0;0;0,04082;0;0;0;0,02083;0;0,02128;0;0;0;0;0;0;0,02273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02941;0;0;0;0;0,02778;0;0,02857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03448;0;0;0,06452;0;0,0303;0;0;0,0625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03226;0;0;0,03226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03571;0;0,07407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03846;0;0;0;0;0;0;0;0;0;0;0;0;0;0,125;0;0,03846;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03846;0;0;0;0
Koněv;0,00121;0,0027;0;0;0;0;0,00971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02381;0;0;0;0;0;0;0;0;0;0,02703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03226;0;0;0;0;0;0,03448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bartoš;0,00851;0;0,00606;0;0,01471;0;0;0;0;0;0;0;0;0;0,06329;0;0;0;0;0;0;0,02817;0;0,07246;0;0;0;0;0;0;0;0;0;0;0;0;0,01667;0;0;0;0;0,01754;0,01754;0;0;0;0;0,02083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02174;0;0,02222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02439;0;0;0;0;0;0;0,02439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02703;0;0;0;0;0;0;0;0;0;0;0;0,03125;0;0;0,02857;0;0;0;0;0,02778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,10345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03448;0;0;0;0;0;0;0;0,03448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03448;0;0,03448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erdogan;0,00243;0,00269;0;0,00617;0;0;0,00962;0;0;0,06522;0;0,01282;0;0,02564;0;0;0;0,01333;0;0,01389;0;0,01471;0;0;0;0;0;0;0;0;0;0,01695;0;0;0;0;0;0,03704;0;0;0;0;0;0;0;0;0;0;0,02381;0;0;0;0;0;0;0;0;0,02273;0;0;0;0;0;0;0;0;0;0;0;0;0;0,025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04;0;0;0;0,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pellegrini;0,00121;0,00267;0,03125;0;0,00735;0,00806;0;0,0084;0,01818;0,01;0;0;0,02299;0,10667;0;0,01316;0,04615;0,01282;0,01299;0,01333;0,02778;0,01408;0,0274;0,01389;0,01449;0;0;0,04918;0,04688;0,0303;0;0;0;0;0,01818;0,01639;0;0;0,01786;0;0;0,01786;0,01786;0;0,01852;0;0;0,02128;0;0;0;0;0;0;0;0,23077;0,02083;0;0,02174;0;0;0;0;0;0;0;0,02273;0;0;0;0;0;0;0;0;0;0,02381;0;0;0;0;0;0;0;0;0,02564;0;0;0,025;0;0;0;0;0,02778;0;0;0;0;0,02632;0;0,05556;0;0;0;0;0;0;0,02703;0;0;0;0;0,02857;0;0;0;0;0;0;0;0;0;0;0;0;0,03226;0,02941;0;0;0;0;0;0;0;0,02941;0;0;0;0;0;0,0625;0;0;0;0,0303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,06667;0;0;0;0;0;0;0,03333;0;0;0;0;0;0;0,03226;0;0;0;0;0;0,06897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03333;0;0;0;0,03333;0;0;0;0;0;0;0;0,03448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03571;0;0;0;0;0;0;0;0;0;0,03448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03571;0,03571;0;0;0;0;0,03571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03571;0;0;0;0;0;0;0;0;0;0;0,03571;0;0;0;0,03571;0;0;0;0;0;0;0,03571;0;0;0;0,03571;0;0;0;0;0;0;0,03571;0;0;0;0;0;0;0;0;0;0;0;0,03571;0;0;0;0,03571
Hitler;0,00363;0;0;0;0;0;0;0;0;0;0;0,01235;0,01136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01852;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02778;0;0;0;0;0;0;0;0;0,0625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,07407;0,03571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dvořák;0,00121;0,00268;0,00617;0,00613;0;0,01653;0,00952;0;0;0,0102;0;0,01266;0;0,0125;0;0;0,01538;0;0;0,0137;0;0;0;0;0;0;0;0;0;0;0,01695;0;0;0;0;0;0;0;0;0,01887;0,01852;0,01852;0,03774;0;0;0,02;0;0;0;0;0;0;0;0;0,02222;0;0;0;0;0;0;0,02222;0;0;0;0;0,04878;0,02326;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03226;0;0;0,0303;0;0;0,03448;0;0;0;0;0;0;0,03125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03571;0,03448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03704;0,03704;0;0;0;0;0,03704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03846;0;0;0;0;0;0;0;0;0;0;0;0;0,03846;0;0;0;0;0;0;0;0;0;0;0;0,03846;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vondráček;0,00121;0,01355;0,00617;0;0;0,01653;0;0;0,00917;0;0,00971;0;0;0;0,0125;0,0274;0,01538;0;0;0;0;0;0;0,01429;0;0;0;0;0;0,01538;0;0,01667;0;0,05263;0,01887;0;0;0;0;0;0,03774;0;0;0;0;0;0,02273;0;0;0;0;0;0;0,02222;0;0;0;0;0;0;0;0;0,04878;0;0;0,02381;0,02381;0;0;0;0;0;0;0;0;0,02632;0;0;0;0;0;0;0;0;0,02564;0;0;0;0;0;0,02778;0;0;0;0;0;0;0;0;0,05714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03704;0;0;0,03571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03704;0,03704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,07692;0,03704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03846;0;0;0;0,03846;0;0
Morawiecki;0,00121;0;0,00617;0;0,01504;0,0082;0;0,01724;0,00917;0,0102;0,00971;0;0;0,09459;0;0,01351;0,01538;0,01316;0,01333;0;0,01408;0;0;0;0,01493;0;0;0,01639;0,01562;0,03125;0;0;0;0;0,01887;0;0;0;0;0;0;0,01852;0;0;0,01923;0;0;0;0;0;0;0,23077;0;0;0;0;0,02174;0,02222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02857;0;0;0;0;0,0303;0;0;0;0;0;0;0;0;0;0;0;0;0,03448;0;0;0;0,03125;0;0;0;0;0;0;0;0;0;0;0;0,03226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03333;0;0;0;0;0;0;0;0;0,03448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03448;0;0;0;0;0;0;0;0;0;0;0;0,11538;0;0;0;0;0;0;0;0,03571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03846;0,03846;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03846;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03846;0;0;0;0;0;0;0;0;0;0,03846;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03846;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Staňka;0,00608;0,01902;0,00613;0;0,03817;0,00813;0;0,01709;0,00909;0;0,00962;0;0;0,01235;0,01235;0,02703;0,03077;0,02632;0;0;0;0;0,02778;0;0;0,01429;0;0,01613;0,03125;0,03077;0,01667;0;0,01695;0;0,01852;0;0;0;0;0;0;0,09804;0,01818;0;0,01887;0;0,02222;0;0;0;0;0,02083;0;0;0;0,02174;0;0;0,02222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03226;0;0;0,03333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03448;0;0;0,03448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03571;0;0;0;0;0;0;0,03571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03704;0;0;0;0;0,03704;0;0;0;0;0;0;0;0,03704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
